58	161
53	161
59	157
57	166
51	161
64	168
52	163
65	166
62	168
61	175
61	170
54	171
50	166
63	169
58	166
39	157
71	166
52	164
68	169
56	166
54	164
63	163
54	160
49	161
54	174
75	162
56	165
66	170
78	173
60	162
64	165
64	164
52	158
62	175
55	165
56	163
50	166
50	171
50	160
63	160
61	165
53	169
60	167
56	170
53	165
57	163
57	162
56	161
56	165
50	169
52	159
55	155
55	164
47	163
45	163
62	175
53	164
52	152
57	167
64	166
59	166
55	174
76	167
62	168
68	178
55	165
52	169
47	153
45	157
68	171
44	157
62	166
56	160
50	148
53	162
64	172
62	167
52	163
53	165
54	176
64	171
55	160
55	165
59	157
70	173
57	168
47	162
47	150
55	162
48	163
59	170
58	169
57	167
51	163
54	161
53	162
59	172
59	159
63	170
66	166
53	158
54	163
60	174
43	154
63	165
56	162
60	172
58	169
50	158
59	164
51	156
62	164
