77	182
68	177
76	170
76	167
69	186
71	178
65	171
70	175
92	187
76	197
119	180
65	175
66	173
101	183
75	178
79	173
64	176
69	174
88	178
65	187
80	178
78	183
85	179
73	180
82	182
74	169
102	185
64	177
65	176
73	183
75	172
57	173
68	165
71	177
71	180
97	189
80	178
66	173
69	182
69	183
55	168
59	182
62	178
70	173
84	184
69	180
88	189
103	185
63	178
84	183
79	179
67	179
83	184
96	184
75	169
65	178
78	178
69	167
67	179
87	185
83	177
90	188
85	191
66	175
88	184
54	169
69	172
56	163
96	191
76	169
61	170
82	176
62	168
71	178
66	170
81	178
68	174
80	176
82	181
70	173
76	183
88	185
89	173
74	175
83	180
81	175
90	181
79	177
